throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
3772.6273726273726,14.29228379124843,0.45722433460076045,21.521271350459873,422.10569056934276,167.5150750415036,a3c,0,mixed
3884.1158841158845,11.219248464516607,0.4049586776859504,21.02747165539444,431.5762310462614,172.2829459139633,a3c,1,mixed
3837.3626373626375,10.430687333539597,0.6422613531047267,19.75246899335525,457.4103055322167,184.16907283891794,a3c,2,mixed
3772.6273726273726,17.089698202826312,0.10256410256410256,23.739428235121107,386.5670159735613,150.62031612514582,a3c,3,mixed
3866.133866133866,12.63461615501505,0.6020408163265306,20.532561921335898,450.7607397292181,180.42135415228586,a3c,4,mixed
3772.6273726273726,17.052830123111505,0.09800190294957184,23.884515294900037,382.5803958759667,148.9418015465116,a3c,5,mixed
3999.200799200799,9.190928897658205,1.6356589147286822,16.63154765888748,555.6825422773029,229.50469813060596,a3c,6,mixed
3704.2957042957046,18.657109765916296,0.0909970958373669,24.33679547054177,377.1647028001817,146.2498865860395,a3c,7,mixed
3776.2237762237764,11.583220484420396,1.1632462686567164,18.84727701908835,480.1560030551841,194.694027472349,a3c,8,mixed
3848.1518481518483,10.426088298122513,1.1806684733514001,18.821611591986397,487.30163967369384,197.96253392236082,a3c,9,mixed
3711.4885114885114,12.82783858896505,0.4015444015444015,21.799653636717647,418.55037174961325,165.70378709636637,a3c,10,mixed
3927.272727272727,10.323540597147737,0.6057347670250897,20.6828202836563,442.1450413866925,177.28068314281657,a3c,11,mixed
3941.6583416583417,11.031573113447235,0.7318385650224215,19.857962973175244,462.37848784474295,186.29352963373228,a3c,12,mixed
3999.200799200799,11.449559060795455,0.5515695067264574,19.731065228411673,456.30341897875826,184.02905974840914,a3c,13,mixed
3826.5734265734263,10.369751652330535,0.8007483629560337,18.83428129221562,482.73876539892984,196.0028269069188,a3c,14,mixed
3927.272727272727,10.573811141672321,1.3033807829181494,17.33266569628208,529.7178265252525,217.2013305116295,a3c,15,mixed
3891.3086913086913,9.265991116696474,0.769090909090909,19.193385628900288,474.6891269511527,192.11670390893823,a3c,16,mixed
3779.8201798201803,18.457230226372385,0.023674242424242424,24.044993542895885,381.2493636373876,148.29002223656818,a3c,17,mixed
3981.2187812187813,10.192315607025275,1.8865619546247818,15.433427166825677,588.8956782699327,244.0953853569758,a3c,18,mixed
3884.1158841158845,12.732967920529179,0.38848263254113347,22.19700089603309,412.016360397204,162.86908352955624,a3c,19,mixed
