throughput_veh_h,speed_m_s,stops_per_vehicle,fuel_mpg,co2_g_mi,nox_mg_mi,controller,episode,mode
3765.4345654345652,17.13299764232357,0.1112167300380228,23.394163268807315,396.17764212148893,155.11674994972162,ppo,0,mixed
3894.9050949050943,17.233354458870014,0.08907254361799816,23.184862760947077,395.74525194762407,155.32368637799271,ppo,1,mixed
3876.9230769230767,13.65178816279962,0.8433734939759037,21.050003674523325,448.8780848202123,179.75336182366473,ppo,2,mixed
3747.4525474525476,16.7312705194944,0.2402659069325736,22.816335820080806,419.14386256450456,165.64391910176684,ppo,3,mixed
3866.133866133866,15.44719319130867,0.20500927643784786,21.79118431953003,431.4317335711667,171.42677900631043,ppo,4,mixed
3772.6273726273726,16.6633672656095,0.19980970504281637,22.875159912143754,405.27649623102843,159.46663830603808,ppo,5,mixed
4013.5864135864135,10.203155755371995,1.8466838931955212,16.94201526857122,573.4506885275225,237.22321696515002,ppo,6,mixed
3700.6993006993007,19.07838504146077,0.06098741529525654,24.3281931497288,379.9761907424561,147.39343168167068,ppo,7,mixed
3804.995004995005,12.230171202206499,1.5009328358208955,18.719799040481156,511.56088675395466,208.90198950543075,ppo,8,mixed
3884.1158841158845,12.598662780078797,0.9439927732610659,19.80677589608792,484.3725406148676,196.12902936243395,ppo,9,mixed
3711.4885114885114,17.025039856067274,0.30212355212355213,23.044138178162928,406.4260998107416,159.81236866224899,ppo,10,mixed
3995.604395604396,18.02632346871387,0.06630824372759857,23.523581776990646,389.3268514854529,152.45038127347922,ppo,11,mixed
3992.007992007992,15.820606586224104,0.2538116591928251,21.816245849659005,428.2909816637035,170.13941570552961,ppo,12,mixed
3999.200799200799,13.498031566838137,0.884304932735426,20.62322194667839,456.91527399302214,183.90011886758828,ppo,13,mixed
3826.5734265734263,12.752681542529318,1.1627689429373247,19.820812453468974,483.1793949110462,195.57194452333425,ppo,14,mixed
3977.6223776223774,13.15901762418715,0.9297153024911032,19.70714349215847,490.2933840657302,198.9619598903393,ppo,15,mixed
3945.2547452547456,15.20642210940973,0.4163636363636364,21.766474777430837,430.81846118182773,171.18356966833355,ppo,16,mixed
3765.4345654345652,17.414566379411607,0.24053030303030304,22.85742569364797,413.12158474717546,163.0698148037348,ppo,17,mixed
3992.007992007992,10.540921180224066,1.5994764397905759,17.243487220560596,553.3970300904712,228.41913090479093,ppo,18,mixed
3916.4835164835163,17.199297585318263,0.10420475319926874,23.20171932044178,396.9366816163287,155.70877695876868,ppo,19,mixed
